TXN001|ACC1001|2025-08-13|09:12|80000|Delhi
TXN002|ACC1001|2025-08-13|09:15|95000|Delhi
TXN003|ACC1001|2025-08-13|09:18|50000|Mumbai
TXN004|ACC1023|2025-08-13|10:05|1500|Chennai
TXN005|ACC1078|2025-08-13|10:25|120000|Delhi
TXN006|ACC1078|2025-08-13|10:45|99000|Delhi
TXN007|ACC1001|2025-08-14|08:50|180000|Kolkata
TXN008|ACC1001|2025-08-14|10:25|40000|Delhi
TXN009|ACC1023|2025-08-14|11:15|800|Chennai
TXN010|ACC1078|2025-08-14|12:40|210000|Pune
TXN011|ACC1078|2025-08-14|15:05|45000|Delhi
TXN012|ACC1001|2025-08-15|09:30|220000|Mumbai
TXN013|ACC1023|2025-08-15|10:45|1000|Chennai
TXN014|ACC1078|2025-08-15|11:25|56000|Delhi
TXN015|ACC1078|2025-08-15|14:00|230000|Pune
TXN016|ACC1001|2025-08-15|16:30|70000|Delhi
TXN017|ACC1001|2025-08-16|08:10|48000|Delhi
TXN018|ACC1001|2025-08-16|09:15|100000|Bangalore
TXN019|ACC1023|2025-08-16|11:05|900|Hyderabad
TXN020|ACC1078|2025-08-16|13:20|190000|Delhi
TXN021|ACC1078|2025-08-16|15:45|30000|Mumbai
TXN022|ACC1001|2025-08-17|09:00|50000|Delhi
TXN023|ACC1001|2025-08-17|09:40|120000|Kolkata
TXN024|ACC1023|2025-08-17|10:15|700|Chennai
TXN025|ACC1078|2025-08-17|11:25|250000|Delhi
TXN026|ACC1078|2025-08-17|12:55|20000|Pune
TXN027|ACC1001|2025-08-18|08:20|60000|Delhi
TXN028|ACC1001|2025-08-18|09:10|85000|Hyderabad
TXN029|ACC1023|2025-08-18|10:35|1100|Chennai
TXN030|ACC1078|2025-08-18|13:15|175000|Delhi
TXN031|ACC1078|2025-08-18|15:40|40000|Delhi
TXN032|ACC1001|2025-08-19|09:25|90000|Delhi
TXN033|ACC1001|2025-08-19|09:45|100000|Delhi
TXN034|ACC1001|2025-08-19|11:00|150000|Kolkata
TXN035|ACC1023|2025-08-19|12:10|950|Chennai
TXN036|ACC1078|2025-08-19|13:55|220000|Delhi
TXN037|ACC1078|2025-08-19|14:50|45000|Bangalore
